eventDate,stateProvince,county,ElevationInMeters,decimalLatitude,decimalLongitude,scientificName,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Pinus-sylvestris-Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.&Reut.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.exSteud.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Erinacea–anthyllis–Link,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Erinacea,anthyllis,NA,Link
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Eryngium–campestre–L.,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,NA,L.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Phlomis–crinita–Cav.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomis,crinita,NA,Cav.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Thymus–baeticus–Boiss.–ex–Lacaita,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,baeticus,NA,Boiss.exLacaita
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Thymus–mastichina–Sibth.–&–Sm.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,mastichina,NA,Sibth.–&–Sm.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Santolina–rosmarinifolia–L.,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,rosmarinifolia,NA,L.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Artemisia–campestris–Ledeb.–var.–glutinosa–(J.Gay–ex–Besser)–Y.R.Ling,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,campestris,glutinosa,(J.Gay–ex–Besser)–Y.R.Ling
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Ptilostemon–hispanicus–(Lam.)–Greuter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ptilostemon,hispanicus,NA,(Lam.)–Greuter
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Festuca–hystrix–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,hystrix,NA,Boiss.
30/09/2004,GR,ALDEIRE,1992,"37,12724018","-3,116135071",Koeleria–vallesiana–Asch.–&–Graebn.,Magnoliophyta,Liliopsida,Poales,Poaceae,Koeleria,vallesiana,NA,Asch.–&–Graebn.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Pinus–pinaster–Besser,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,pinaster,NA,Besser
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Quercus–ilex–L.–subsp.–ballota,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,ilex,ballota,NA
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Halimium–umbellatum–Spach–subsp.–viscosum–(Willk.)–O.BolÃ²s–&–Vigo,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Halimium,umbellatum,viscosum,(Willk.)–O.BolÃ²s–&–Vigo
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Fumana–thymifolia–Spach,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Fumana,thymifolia,NA,Spach
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Dorycnium–pentaphyllum–Scop.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Dorycnium,pentaphyllum,NA,Scop.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Medicago–sativa–L.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,sativa,NA,L.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Ulex–parviflorus–Pourr.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,parviflorus,NA,Pourr.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Eryngium–campestre–L.,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,NA,L.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Phlomis–crinita–Cav.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomis,crinita,NA,Cav.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Thymus–serpylloides–Bory–subsp.–gadorensis–(Pau)–Jalas,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,serpylloides,gadorensis,(Pau)–Jalas
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Teucrium–compactum–Clem.–ex–Lag.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,compactum,NA,Clem.–ex–Lag.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Helichrysum–italicum–(Roth)–G.Don–var.–serotinum–(Boiss.)–O.BolÃ²s–&–Vigo,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Helichrysum,italicum,serotinum,(Boiss.)–O.BolÃ²s–&–Vigo
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Artemisia–campestris–Ledeb.–var.–glutinosa–(J.Gay–ex–Besser)–Y.R.Ling,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,campestris,glutinosa,(J.Gay–ex–Besser)–Y.R.Ling
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Ptilostemon–hispanicus–(Lam.)–Greuter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Ptilostemon,hispanicus,NA,(Lam.)–Greuter
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Centaurea–ornata–Willd.,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,ornata,NA,Willd.
